name,price,ratings
MarQ by Flipkart Falkon Aerbook Core i5 8th Gen - (8 GB...,"₹41,990",4.2
Lenovo Ideapad S145 APU Dual Core A6 - (4 GB/1 TB HDD/W...,"₹18,990",4.1
HP 15 Core i3 7th Gen - (8 GB/1 TB HDD/Windows 10 Home)...,"₹31,649",4.3
Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Ma...,"₹65,990",4.7
Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows...,"₹48,990",4.6
HP 15 Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15...,"₹20,990",4
HP 15q APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Hom...,"₹22,990",4.1
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB ...,"₹49,990",4.6
Lenovo Ideapad S145 Core i5 8th Gen - (8 GB/1 TB HDD/25...,"₹43,990",4
Lenovo Ideapad 130 Core i5 8th Gen - (8 GB/1 TB HDD/Win...,"₹39,990",4.2
Asus VivoBook Gaming Core i5 9th Gen - (8 GB + 32 GB Op...,"₹54,990",4.6
Acer Spin 1 Pentium Quad Core - (4 GB/500 GB HDD/Window...,"₹21,990",4.1
Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Win...,"₹25,990",4
HP 15q Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,"₹43,990",4.3
Acer Nitro 5 Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SS...,"₹69,990",4.6
Lenovo Ideapad 330 Core i3 7th Gen - (8 GB/1 TB HDD/Win...,"₹30,990",4.1
Dell G3 Series Core i5 8th Gen - (8 GB/1 TB HDD/128 GB ...,"₹57,990",4.4
HP 14q APU Dual Core A4 - (4 GB/256 GB SSD/Windows 10 H...,"₹17,990",4
HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/12...,"₹49,990",4.4
Asus ROG Strix G Core i5 9th Gen - (8 GB/512 GB SSD/Win...,"₹62,990",4.6
Asus VivoBook 14 Core i3 8th Gen - (4 GB/256 GB SSD/Win...,"₹33,990",4.5
Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/DOS...,"₹24,990",4
Dell 14 3000 Core i3 7th Gen - (4 GB/1 TB HDD/Linux) in...,"₹25,490",4.1
HP 15s Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,"₹36,990",4.2
Lenovo Ideapad 130 Core i5 8th Gen - (8 GB/1 TB HDD/DOS...,"₹35,990",4
HP 14q APU Dual Core A9 - (4 GB/256 GB SSD/Windows 10 H...,"₹20,990",4.1
HP 14q Core i3 7th Gen - (8 GB/256 GB SSD/Windows 10 Ho...,"₹32,990",4.3
HP 14q Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,"₹41,990",4.2
Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 ...,"₹39,990",4.5
Lenovo Ideapad 130 APU Dual Core A6 - (4 GB/1 TB HDD/Wi...,"₹19,990",3.9
Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Win...,"₹26,990",4
Lenovo Ideapad S145 Ryzen 3 Dual Core - (4 GB/1 TB HDD/...,"₹24,990",4.1
Acer Predator Triton 300 Core i5 9th Gen - (8 GB/1 TB H...,"₹67,990",4.6
HP 15q Core i3 7th Gen - (8 GB/1 TB HDD/DOS) 15q-ds0017...,"₹30,990",4.3
Acer Nitro 5 Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SS...,"₹53,990",5
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/Windo...,"₹52,990",4.4
HP 14q Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Ho...,"₹42,990",4.4
Apple MacBook Air Core i5 8th Gen - (8 GB/256 GB SSD/Ma...,"₹97,990",4.7
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows...,"₹47,990",4.4
HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/12...,"₹56,990",4.5
